time,bpm,source,device
2018-11-16T13:00:00Z,74.0,health_connect,unknown
2018-11-17T13:00:00Z,71.0,health_connect,unknown
2018-11-18T13:00:00Z,70.0,health_connect,unknown
2018-11-19T13:00:00Z,72.0,health_connect,unknown
2018-11-20T13:00:00Z,73.0,health_connect,unknown
2018-11-21T13:00:00Z,76.0,health_connect,unknown
2018-11-26T13:00:00Z,75.0,health_connect,unknown
2019-02-20T13:00:00Z,74.0,health_connect,unknown
2019-02-21T13:00:00Z,73.0,health_connect,unknown
2019-02-23T13:00:00Z,74.0,health_connect,unknown
2019-02-24T13:00:00Z,74.0,health_connect,unknown
2019-02-25T13:00:00Z,75.0,health_connect,unknown
2019-02-26T13:00:00Z,77.0,health_connect,unknown
2019-02-27T13:00:00Z,77.0,health_connect,unknown
2019-02-28T13:00:00Z,78.0,health_connect,unknown
2019-03-01T13:00:00Z,77.0,health_connect,unknown
2019-03-02T13:00:00Z,78.0,health_connect,unknown
2019-03-03T13:00:00Z,77.0,health_connect,unknown
2019-03-14T13:00:00Z,76.0,health_connect,unknown
2019-03-15T13:00:00Z,73.0,health_connect,unknown
2019-03-16T13:00:00Z,72.0,health_connect,unknown
2019-03-17T13:00:00Z,73.0,health_connect,unknown
2019-03-18T13:00:00Z,72.0,health_connect,unknown
2019-03-19T13:00:00Z,73.0,health_connect,unknown
2019-03-20T13:00:00Z,75.0,health_connect,unknown
2019-03-27T13:00:00Z,77.0,health_connect,unknown
2019-03-28T13:00:00Z,78.0,health_connect,unknown
2019-03-29T13:00:00Z,79.0,health_connect,unknown
2019-03-30T13:00:00Z,79.0,health_connect,unknown
2019-03-31T13:00:00Z,79.0,health_connect,unknown
2019-04-01T13:00:00Z,79.0,health_connect,unknown
2019-04-02T13:00:00Z,79.0,health_connect,unknown
2019-08-09T14:00:00Z,75.0,health_connect,unknown
2019-08-10T14:00:00Z,75.0,health_connect,unknown
2019-08-11T14:00:00Z,80.0,health_connect,unknown
2019-08-12T14:00:00Z,79.0,health_connect,unknown
2019-08-13T14:00:00Z,80.0,health_connect,unknown
2019-08-14T14:00:00Z,81.0,health_connect,unknown
2019-08-15T14:00:00Z,82.0,health_connect,unknown
2019-08-16T14:00:00Z,81.0,health_connect,unknown
2019-08-17T14:00:00Z,82.0,health_connect,unknown
2019-08-18T14:00:00Z,81.0,health_connect,unknown
2019-08-19T14:00:00Z,82.0,health_connect,unknown
2019-08-20T14:00:00Z,83.0,health_connect,unknown
2019-08-21T14:00:00Z,83.0,health_connect,unknown
2019-08-22T14:00:00Z,82.0,health_connect,unknown
2019-08-23T14:00:00Z,81.0,health_connect,unknown
2019-08-24T14:00:00Z,79.0,health_connect,unknown
2019-08-25T14:00:00Z,79.0,health_connect,unknown
2019-08-26T14:00:00Z,79.0,health_connect,unknown
2019-08-27T14:00:00Z,78.0,health_connect,unknown
2019-08-28T14:00:00Z,78.0,health_connect,unknown
2019-08-30T14:00:00Z,78.0,health_connect,unknown
2019-09-01T14:00:00Z,77.0,health_connect,unknown
2019-09-02T14:00:00Z,75.0,health_connect,unknown
2019-09-04T14:00:00Z,75.0,health_connect,unknown
2019-09-05T14:00:00Z,74.0,health_connect,unknown
2019-09-09T14:00:00Z,75.0,health_connect,unknown
2019-09-10T14:00:00Z,76.0,health_connect,unknown
2019-09-11T14:00:00Z,77.0,health_connect,unknown
2019-09-12T14:00:00Z,79.0,health_connect,unknown
2019-09-13T14:00:00Z,80.0,health_connect,unknown
2019-09-14T14:00:00Z,80.0,health_connect,unknown
2019-09-15T14:00:00Z,80.0,health_connect,unknown
2019-09-16T14:00:00Z,81.0,health_connect,unknown
2019-09-17T14:00:00Z,81.0,health_connect,unknown
2019-09-18T14:00:00Z,82.0,health_connect,unknown
2019-09-19T14:00:00Z,81.0,health_connect,unknown
2019-09-20T14:00:00Z,80.0,health_connect,unknown
2019-09-21T14:00:00Z,80.0,health_connect,unknown
2019-09-22T14:00:00Z,77.0,health_connect,unknown
2019-09-23T14:00:00Z,78.0,health_connect,unknown
2019-09-24T14:00:00Z,78.0,health_connect,unknown
2019-09-25T14:00:00Z,78.0,health_connect,unknown
2019-09-26T14:00:00Z,78.0,health_connect,unknown
2019-09-27T14:00:00Z,78.0,health_connect,unknown
2019-09-28T14:00:00Z,78.0,health_connect,unknown
2019-09-29T14:00:00Z,77.0,health_connect,unknown
2019-09-30T14:00:00Z,76.0,health_connect,unknown
2019-10-01T14:00:00Z,76.0,health_connect,unknown
2019-10-02T14:00:00Z,77.0,health_connect,unknown
2019-10-03T14:00:00Z,80.0,health_connect,unknown
2019-10-04T14:00:00Z,80.0,health_connect,unknown
2019-10-05T14:00:00Z,83.0,health_connect,unknown
2019-10-07T13:00:00Z,83.0,health_connect,unknown
2019-10-08T13:00:00Z,83.0,health_connect,unknown
2019-10-09T13:00:00Z,83.0,health_connect,unknown
