time,bpm
1554123600000,79.0
1554210000000,79.0
1565359200000,75.0
1565445600000,75.0
1565532000000,80.0
1565618400000,79.0
1565704800000,80.0
1565791200000,81.0
1565877600000,82.0
1565964000000,81.0
1566050400000,82.0
1566136800000,81.0
1566223200000,82.0
1566309600000,83.0
1566396000000,83.0
1566482400000,82.0
1566568800000,81.0
1566655200000,79.0
1566741600000,79.0
1566828000000,79.0
1566914400000,78.0
1567000800000,78.0
1567173600000,78.0
1567346400000,77.0
1567432800000,75.0
1567605600000,75.0
1567692000000,74.0
1568037600000,75.0
1568124000000,76.0
1568210400000,77.0
1568296800000,79.0
1568383200000,80.0
1568469600000,80.0
1568556000000,80.0
1568642400000,81.0
1568728800000,81.0
1568815200000,82.0
1568901600000,81.0
1568988000000,80.0
1569074400000,80.0
1569160800000,77.0
1569247200000,78.0
1569333600000,78.0
1569420000000,78.0
1569506400000,78.0
1569592800000,78.0
1569679200000,78.0
1569765600000,77.0
1569852000000,76.0
1569938400000,76.0
1570024800000,77.0
1570111200000,80.0
1570197600000,80.0
1570284000000,83.0
1570453200000,83.0
1570539600000,83.0
1570626000000,83.0
1570712400000,83.0
1570798800000,79.0
1570885200000,79.0
1570971600000,82.0
1571058000000,83.0
1571144400000,83.0
1571230800000,85.0
1571317200000,83.0
1571403600000,83.0
1571490000000,83.0
1571576400000,82.0
1571662800000,83.0
1571749200000,83.0
1571835600000,84.0
1571922000000,84.0
1572008400000,84.0
1572094800000,83.0
1572181200000,83.0
1572267600000,81.0
1572354000000,81.0
1572440400000,82.0
1572526800000,84.0
1572613200000,84.0
1572699600000,83.0
1572786000000,83.0
1573045200000,84.0
1573131600000,80.0
1573218000000,79.0
1573304400000,79.0
1573390800000,79.0
1573477200000,80.0
1573563600000,79.0
1573909200000,78.0
1573995600000,78.0
1574082000000,79.0
1574168400000,80.0
1574254800000,81.0
1574341200000,81.0
1575464400000,80.0
1575637200000,80.0
1575723600000,84.0
1575810000000,80.0
1575896400000,81.0
1575982800000,80.0
1576069200000,80.0
1576328400000,81.0
1576414800000,80.0
1576501200000,79.0
1576587600000,79.0
1576674000000,79.0
1576760400000,79.0
1576846800000,79.0
1581426000000,79.0
1581512400000,77.0
1581598800000,78.0
1581685200000,78.0
1581771600000,78.0
1581858000000,80.0
1581944400000,80.0
1582030800000,80.0
1582117200000,77.0
1582203600000,80.0
1582290000000,80.0
1582376400000,78.0
1582462800000,78.0
1582549200000,77.0
1582635600000,77.0
1582722000000,77.0
1582808400000,78.0
1582894800000,78.0
1582981200000,77.0
1583067600000,76.0
1583154000000,78.0
1583326800000,78.0
1583413200000,77.0
1583499600000,77.0
1583586000000,77.0
1583672400000,76.0
1583758800000,75.0
1583845200000,76.0
1583931600000,77.0
1584018000000,77.0
1586354400000,80.0
1586440800000,82.0
1586527200000,82.0
1586613600000,83.0
1586700000000,85.0
1586786400000,84.0
1587218400000,84.0
1587304800000,83.0
1587391200000,80.0
1587477600000,79.0
1587564000000,78.0
1587650400000,75.0
1587736800000,75.0
1587823200000,73.0
1587909600000,74.0
1587996000000,74.0
1588082400000,76.0
1588168800000,76.0
1588255200000,75.0
1588341600000,76.0
1590501600000,77.0
1590588000000,81.0
1590674400000,79.0
1590760800000,78.0
1590847200000,79.0
1590933600000,81.0
1591192800000,81.0
1591279200000,81.0
1591365600000,80.0
1591452000000,82.0
1591538400000,82.0
1592834400000,81.0
1592920800000,81.0
1593007200000,79.0
1593093600000,79.0
1593180000000,80.0
1593266400000,79.0
1593352800000,79.0
1594821600000,81.0
1594908000000,81.0
1594994400000,82.0
1595080800000,82.0
1595167200000,82.0
1613307600000,83.0
1613394000000,84.0
1613480400000,81.0
1613566800000,79.0
1613653200000,79.0
1613739600000,79.0
1613826000000,78.0
1613912400000,78.0
1613998800000,78.0
1614085200000,78.0
1614171600000,79.0
1614258000000,80.0
1614344400000,80.0
1614430800000,79.0
1614517200000,80.0
1614603600000,80.0
1614690000000,79.0
1614776400000,81.0
1614862800000,82.0
1614949200000,83.0
1615035600000,80.0
1615122000000,81.0
1615208400000,81.0
1615294800000,82.0
1615381200000,85.0
1615467600000,84.0
1615554000000,82.0
1615640400000,84.0
1615726800000,81.0
1615813200000,81.0
1615899600000,79.0
1615986000000,77.0
1616072400000,75.0
1616158800000,76.0
1616245200000,76.0
1616331600000,77.0
1616418000000,76.0
1616504400000,76.0
1616590800000,77.0
1617282000000,75.0
1617368400000,76.0
1617454800000,77.0
1691848800000,70.0
1691935200000,71.0
1692021600000,73.0
1692108000000,70.0
1692194400000,70.0
1692280800000,69.0
1692367200000,70.0
1692453600000,71.0
1692540000000,69.0
1692626400000,70.0
1692712800000,73.0
1692799200000,73.0
1692885600000,74.0
1692972000000,75.0
1693058400000,74.0
1693144800000,72.0
1693231200000,72.0
1693317600000,72.0
1693404000000,72.0
1693490400000,74.0
1693576800000,76.0
1693663200000,75.0
1693749600000,72.0
1693836000000,72.0
1693922400000,72.0
1697547600000,76.0
1697634000000,76.0
1697720400000,76.0
1697806800000,76.0
1697893200000,76.0
1697979600000,79.0
1698066000000,78.0
1698152400000,76.0
1698498000000,77.0
1698584400000,76.0
1698670800000,77.0
1698757200000,75.0
1698843600000,77.0
1698930000000,74.0
1699016400000,74.0
1699102800000,74.0
1699189200000,75.0
1699275600000,75.0
1699362000000,75.0
1699794000000,75.0
1699880400000,76.0
1699966800000,78.0
1700053200000,76.0
1700139600000,75.0
1700226000000,77.0
1700312400000,75.0
1700398800000,76.0
1700485200000,74.0
1700571600000,74.0
1700658000000,76.0
1700744400000,74.0
1700830800000,74.0
1700917200000,74.0
1701003600000,71.0
1701090000000,70.0
1701176400000,71.0
1701262800000,73.0
1701349200000,74.0
1701435600000,77.0
1701522000000,75.0
1701608400000,75.0
1701694800000,76.0
1701781200000,78.0
1701867600000,79.0
1701954000000,77.0
1702040400000,79.0
1702126800000,80.0
1702213200000,82.0
1702299600000,82.0
1702386000000,84.0
1706706000000,92.0
1706792400000,72.0
1706878800000,64.0
1707051600000,84.0
1707138000000,69.0
1707224400000,67.0
1707310800000,64.0
1707397200000,63.0
1707483600000,73.0
1707570000000,63.0
1707656400000,65.0
1707742800000,64.0
1707829200000,63.0
1707915600000,66.0
1708002000000,66.0
1708088400000,69.0
1708174800000,59.0
1708261200000,69.0
1708434000000,65.0
1708520400000,63.0
1708606800000,62.0
1708866000000,69.0
1708952400000,57.0
1709038800000,60.0
1709125200000,59.0
1709211600000,57.0
1710162000000,63.0
1710421200000,62.0
1752674400000,81.0
1752760800000,82.0
1752847200000,80.0
1752933600000,77.0
1753020000000,78.0
1753106400000,78.0
1753192800000,78.0
1753279200000,77.0
1753365600000,80.0
1753452000000,79.0
1753538400000,80.0
1753624800000,81.0
1753711200000,81.0
1754229600000,81.0
1754316000000,80.0
1754402400000,80.0
1754488800000,82.0
1754575200000,81.0
1754661600000,83.0
1754748000000,81.0
1754834400000,81.0
1754920800000,83.0
1755007200000,85.0
1755093600000,84.0
1755180000000,82.0
1755266400000,82.0
1755352800000,82.0
1755439200000,83.0
1755525600000,83.0
1755612000000,82.0
1755698400000,83.0
1755784800000,84.0
1755871200000,84.0
1755957600000,84.0
1756044000000,85.0
1756130400000,83.0
1756216800000,83.0
1756303200000,83.0
1756389600000,84.0
1756476000000,84.0
1756562400000,85.0
1756648800000,84.0
1756735200000,82.0
1756821600000,82.0
1756908000000,83.0
1756994400000,84.0
1757080800000,83.0
1757167200000,82.0
1757253600000,82.0
1757340000000,82.0
1757426400000,84.0
1757512800000,82.0
1757599200000,82.0
1757685600000,82.0
1757772000000,82.0
1757858400000,83.0
1757944800000,83.0
1758031200000,83.0
1758117600000,82.0
1758204000000,82.0
1758290400000,80.0
1758376800000,80.0
1758463200000,82.0
1758549600000,82.0
1758636000000,85.0
1758722400000,83.0
1758808800000,84.0
1758895200000,87.0
1758981600000,88.0
1759068000000,85.0
1759154400000,83.0
1759240800000,82.0
1759327200000,84.0
1759413600000,83.0
1759500000000,84.0
1759586400000,84.0
1759669200000,81.0
1759755600000,84.0
1759842000000,86.0
1759928400000,83.0
1760014800000,83.0
1760101200000,81.0
1760187600000,82.0
1760274000000,83.0
1760360400000,84.0
1760446800000,83.0
1760533200000,80.0
1760619600000,83.0
1760706000000,85.0
1760792400000,83.0
1760878800000,83.0
1760965200000,83.0
1761051600000,83.0
1761138000000,84.0
1761224400000,85.0
1761310800000,85.0
1761397200000,87.0
1761483600000,86.0
1761570000000,87.0
1761656400000,89.0
1761915600000,88.0
1762002000000,91.0
1764507600000,83.0
1764594000000,77.0
1764680400000,72.0
1764766800000,74.0
1764853200000,71.0
1764939600000,75.0
