time,spo2_pct,pulse_bpm
2021-07-28T16:45:00Z,96.0,83.0
2021-07-28T17:47:00Z,95.0,71.0
2021-07-28T18:18:00Z,98.0,71.0
2021-07-28T19:00:00Z,95.0,72.0
2021-07-28T19:30:00Z,98.0,74.0
2021-07-28T20:00:00Z,97.0,71.5
2021-07-28T22:01:00Z,96.5,73.0
2021-07-28T23:01:00Z,96.0,73.5
2021-07-29T00:04:00Z,97.0,68.0
2021-07-30T14:41:00Z,99.0,89.0
2021-07-30T16:05:00Z,95.0,93.0
2021-07-30T16:55:00Z,97.0,94.0
2021-07-30T17:25:00Z,95.5,84.5
2021-07-30T18:25:00Z,96.0,81.0
2021-07-30T19:56:00Z,98.0,70.0
2021-07-30T20:58:00Z,95.0,77.0
2021-07-30T21:58:00Z,92.0,75.0
2021-07-30T22:34:00Z,97.0,75.0
2021-07-30T23:04:00Z,100.0,72.0
2021-07-31T00:24:00Z,97.0,68.5
2021-07-31T01:55:00Z,94.0,68.0
2021-07-31T06:39:00Z,91.0,85.0
2021-07-31T10:23:00Z,91.0,74.0
2021-07-31T13:52:00Z,96.0,80.0
2021-08-01T01:14:00Z,94.0,78.0
2021-08-01T02:27:00Z,96.0,76.0
2021-08-01T05:09:00Z,95.0,82.0
2021-08-01T06:10:00Z,97.0,71.0
2021-08-01T08:25:00Z,94.0,78.0
2021-08-01T10:22:00Z,94.5,91.5
2021-08-01T14:53:00Z,100.0,83.0
2021-08-01T15:23:00Z,90.0,85.0
2021-08-01T15:53:00Z,94.0,79.0
2021-08-01T17:39:00Z,96.0,75.0
2021-08-01T18:09:00Z,90.5,74.0
2021-08-01T19:09:00Z,92.0,78.0
2021-08-01T19:40:00Z,94.0,60.0
2021-08-01T20:10:00Z,93.5,72.0
2021-08-01T21:51:00Z,92.0,67.0
2021-08-01T23:55:00Z,96.0,70.0
2021-08-02T00:25:00Z,96.0,73.0
2021-08-02T01:01:00Z,96.0,69.0
2021-08-02T02:12:00Z,99.0,78.0
2021-08-02T03:26:00Z,99.0,88.0
2021-08-02T04:36:00Z,96.0,80.0
2021-08-02T05:51:00Z,95.0,79.0
2021-08-02T06:21:00Z,96.5,73.5
2021-08-02T08:52:00Z,100.0,75.0
2021-08-02T09:34:00Z,97.0,77.0
2021-08-02T10:35:00Z,92.0,76.0
2021-08-02T12:38:00Z,97.0,94.0
2021-08-03T03:16:00Z,96.5,80.5
2021-08-03T05:17:00Z,98.0,87.0
2021-08-03T07:28:00Z,86.0,76.0
2021-08-03T09:04:00Z,94.0,83.5
2021-08-03T10:56:00Z,96.0,84.0
2021-08-03T11:28:00Z,96.0,80.0
2021-08-03T14:27:00Z,97.0,86.0
2021-08-03T17:02:00Z,95.0,70.0
2021-08-03T18:13:00Z,97.0,73.5
2021-08-03T19:13:00Z,98.0,71.0
2021-08-03T20:26:00Z,98.0,71.0
2021-08-03T21:34:00Z,96.0,66.0
2021-08-03T23:20:00Z,98.0,69.0
2021-08-03T23:52:00Z,97.0,68.0
2021-08-04T00:45:00Z,80.0,80.0
2021-08-04T03:54:00Z,99.0,83.0
2021-08-04T05:24:00Z,95.0,83.0
2021-08-04T07:49:00Z,88.0,86.0
2021-08-06T00:41:00Z,94.0,77.0
2021-08-06T03:43:00Z,97.0,74.0
2021-08-06T09:33:00Z,98.0,94.0
2021-08-06T13:26:00Z,100.0,79.0
2021-08-06T14:15:00Z,98.0,87.0
2021-08-06T16:01:00Z,95.0,78.5
2021-08-06T17:03:00Z,95.5,82.0
2021-08-06T18:03:00Z,95.0,78.0
2021-08-06T20:22:00Z,99.0,71.0
2021-08-06T21:22:00Z,96.0,71.0
